Evaluate office environment:
evaluate mppi
Model mode: PlainNet, model type: q_no
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode time: 18.236243724822998
success rate: 0.7291666666666666
episode index: 96
episode time: 4.453486919403076
success rate: 0.7319587628865979
episode index: 97
episode time: 5.395874500274658
success rate: 0.7346938775510204
episode index: 98
episode time: 9.74040150642395
success rate: 0.7373737373737373
episode index: 99
episode time: 4.173135757446289
success rate: 0.74
Final success rate: 0.74
skill steps: [3, 4, 6, 8, 7, 3, 1, 8, 1, 4, 0, 6, 4, 5, 6, 1, 2, 3, 6, 2, 3, 7, 5, 9, 6, 4, 9, 0, 9, 4, 3, 2, 3, 6, 3, 6, 6, 9, 2, 7, 9, 4, 1, 4, 4, 0, 9, 9, 7, 7, 9, 9, 1, 3, 9, 9, 3, 0, 4, 0, 1, 2, 3, 2, 9, 0, 2, 3, 1, 6, 6, 5, 6, 7]
Model mode: PlainNet, model type: q_only
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 0
episode time: 7.202726364135742
success rate: 1.0
episode index: 1
episode time: 4.229119777679443
success rate: 1.0
episode index: 2
episode time: 4.431567668914795
success rate: 1.0
episode index: 3
episode time: 3.8194260597229004
success rate: 1.0
episode index: 4
episode time: 17.66875720024109
success rate: 0.8
episode index: 5
episode time: 5.940947771072388
success rate: 0.8333333333333334
episode index: 6
episode time: 15.464970350265503
success rate: 0.8571428571428571
episode index: 7
episode time: 6.508131742477417
success rate: 0.875
episode index: 8
episode time: 13.705809593200684
success rate: 0.8888888888888888
episode index: 9
episode time: 17.81093144416809
success rate: 0.8
episode index: 10
episode time: 5.266948938369751
success rate: 0.8181818181818182
episode index: 11
episode time: 6.321447849273682
success rate: 0.8333333333333334
episode index: 12
episode time: 13.775946617126465
success rate: 0.8461538461538461
episode index: 13
episode time: 17.55753183364868
success rate: 0.7857142857142857
episode index: 14
episode time: 7.999496221542358
success rate: 0.8
episode index: 15
episode time: 17.329882383346558
success rate: 0.75
episode index: 16
episode time: 11.972676515579224
success rate: 0.7647058823529411
episode index: 17
episode time: 8.610077857971191
success rate: 0.7777777777777778
episode index: 18
episode time: 18.639214277267456
success rate: 0.7368421052631579
episode index: 19
episode time: 13.648416996002197
success rate: 0.75
episode index: 20
episode time: 7.394337177276611
success rate: 0.7619047619047619
episode index: 21
episode time: 6.2732768058776855
success rate: 0.7727272727272727
episode index: 22
episode time: 2.540365219116211
success rate: 0.782608695652174
episode index: 23
episode time: 3.045196294784546
success rate: 0.7916666666666666
episode index: 24
episode time: 3.4428858757019043
success rate: 0.8
episode index: 25
episode time: 5.75096583366394
success rate: 0.8076923076923077
episode index: 26
episode time: 10.665973663330078
success rate: 0.8148148148148148
episode index: 27
episode time: 17.340968370437622
success rate: 0.7857142857142857
episode index: 28
episode time: 17.2608540058136
success rate: 0.7586206896551724
episode index: 29
episode time: 17.76146149635315
success rate: 0.7333333333333333
episode index: 30
episode time: 18.094122409820557
success rate: 0.7096774193548387
episode index: 31
episode time: 6.939662218093872
success rate: 0.71875
episode index: 32
episode time: 6.311449766159058
success rate: 0.7272727272727273
episode index: 33
episode time: 4.290707349777222
success rate: 0.7352941176470589
episode index: 34
episode time: 10.19742202758789
success rate: 0.7428571428571429
episode index: 35
episode time: 5.11643648147583
success rate: 0.75
episode index: 36
episode time: 5.619188547134399
success rate: 0.7567567567567568
episode index: 37
episode time: 4.846394777297974
success rate: 0.7631578947368421
episode index: 38
episode time: 5.778964042663574
success rate: 0.7692307692307693
episode index: 39
episode time: 2.810459852218628
success rate: 0.775
episode index: 40
episode time: 6.575274229049683
success rate: 0.7804878048780488
episode index: 41
episode time: 7.539949655532837
success rate: 0.7857142857142857
episode index: 42
episode time: 12.858319282531738
success rate: 0.7906976744186046
episode index: 43
episode time: 5.080919027328491
success rate: 0.7954545454545454
episode index: 44
episode time: 6.2706310749053955
success rate: 0.8
episode index: 45
episode time: 4.003385782241821
success rate: 0.8043478260869565
episode index: 46
episode time: 5.627003192901611
success rate: 0.8085106382978723
episode index: 47
episode time: 16.11918568611145
success rate: 0.8125
episode index: 48
episode time: 11.310348272323608
success rate: 0.8163265306122449
episode index: 49
episode time: 13.60712480545044
success rate: 0.8
episode index: 50
episode time: 13.031373977661133
success rate: 0.803921568627451
episode index: 51
episode time: 17.52118682861328
success rate: 0.7884615384615384
episode index: 52
episode time: 2.3536367416381836
success rate: 0.7924528301886793
episode index: 53
episode time: 18.90227174758911
success rate: 0.7777777777777778
episode index: 54
episode time: 6.557530403137207
success rate: 0.7818181818181819
episode index: 55
episode time: 3.6649491786956787
success rate: 0.7857142857142857
episode index: 56
episode time: 17.091217517852783
success rate: 0.7719298245614035
episode index: 57
episode time: 17.241453170776367
success rate: 0.7586206896551724
episode index: 58
episode time: 12.030818223953247
success rate: 0.7627118644067796
episode index: 59
episode time: 5.315752029418945
success rate: 0.7666666666666667
episode index: 60
episode time: 17.20354700088501
success rate: 0.7540983606557377
episode index: 61
episode time: 3.714374303817749
success rate: 0.7580645161290323
episode index: 62
episode time: 6.151843786239624
success rate: 0.7619047619047619
episode index: 63
episode time: 14.148260354995728
success rate: 0.765625
episode index: 64
episode time: 9.794485807418823
success rate: 0.7692307692307693
episode index: 65
episode time: 15.661678075790405
success rate: 0.7575757575757576
episode index: 66
episode time: 7.495431661605835
success rate: 0.7611940298507462
episode index: 67
episode time: 2.529859781265259
success rate: 0.7647058823529411
episode index: 68
episode time: 10.624720573425293
success rate: 0.7681159420289855
episode index: 69
episode time: 16.06955122947693
success rate: 0.7714285714285715
episode index: 70
episode time: 8.9401376247406
success rate: 0.7746478873239436
episode index: 71
episode time: 16.3141610622406
success rate: 0.7777777777777778
episode index: 72
episode time: 11.545745611190796
success rate: 0.7808219178082192
episode index: 73
episode time: 19.55931568145752
success rate: 0.7702702702702703
episode index: 74
episode time: 19.273993015289307
success rate: 0.76
episode index: 75
episode time: 13.286230325698853
success rate: 0.7631578947368421
episode index: 76
episode time: 3.048841714859009
success rate: 0.7662337662337663
episode index: 77
episode time: 12.529715299606323
success rate: 0.7692307692307693
episode index: 78
episode time: 3.048696994781494
success rate: 0.7721518987341772
episode index: 79
episode time: 4.4679765701293945
success rate: 0.775
episode index: 80
episode time: 4.685817241668701
success rate: 0.7777777777777778
episode index: 81
episode time: 17.40012812614441
success rate: 0.7804878048780488
episode index: 82
episode time: 6.709352731704712
success rate: 0.7831325301204819
episode index: 83
episode time: 5.98498272895813
success rate: 0.7857142857142857
episode index: 84
episode time: 5.0042724609375
success rate: 0.788235294117647
episode index: 85
episode time: 3.9391133785247803
success rate: 0.7906976744186046
episode index: 86
episode time: 4.479139089584351
success rate: 0.7931034482758621
episode index: 87
episode time: 3.2860474586486816
success rate: 0.7954545454545454
episode index: 88
episode time: 15.653284311294556
success rate: 0.7865168539325843
episode index: 89
episode time: 6.98568868637085
success rate: 0.7888888888888889
episode index: 90
episode time: 17.031890630722046
success rate: 0.7802197802197802
episode index: 91
episode time: 19.513405561447144
success rate: 0.7717391304347826
episode index: 92
episode time: 15.398268222808838
success rate: 0.7741935483870968
episode index: 93
episode time: 16.74471664428711
success rate: 0.7659574468085106
episode index: 94
episode time: 5.261301279067993
success rate: 0.7684210526315789
episode index: 95
episode time: 13.638949155807495
success rate: 0.7708333333333334
episode index: 96
episode time: 4.611166477203369
success rate: 0.7731958762886598
episode index: 97
episode time: 2.6590874195098877
success rate: 0.7755102040816326
episode index: 98
episode time: 6.211742162704468
success rate: 0.7777777777777778
episode index: 99
episode time: 10.712060928344727
success rate: 0.78
Final success rate: 0.78
skill steps: [2, 3, 6, 8, 6, 6, 6, 5, 9, 6, 0, 7, 5, 1, 3, 3, 0, 4, 6, 6, 3, 9, 2, 2, 7, 7, 0, 2, 8, 7, 7, 3, 1, 9, 0, 1, 2, 6, 8, 8, 8, 8, 9, 0, 9, 8, 6, 0, 0, 3, 9, 6, 2, 8, 9, 4, 8, 1, 8, 4, 5, 8, 0, 3, 9, 6, 1, 8, 9, 9, 1, 8, 7, 2, 2, 9, 3, 5]
Model mode: PlainNet, model type: q_true
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 0
action [nan nan nan nan nan nan nan nan]
Model mode: PlainNet, model type: qhat_no
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 0
episode time: 6.824113607406616
success rate: 1.0
episode index: 1
episode time: 6.107173681259155
success rate: 1.0
episode index: 2
episode time: 20.42969036102295
success rate: 0.6666666666666666
episode index: 3
episode time: 4.981103897094727
success rate: 0.75
episode index: 4
episode time: 19.72060799598694
success rate: 0.6
episode index: 5
episode time: 6.179058074951172
success rate: 0.6666666666666666
episode index: 6
episode time: 9.614256620407104
success rate: 0.7142857142857143
episode index: 7
episode time: 19.618141174316406
success rate: 0.625
episode index: 8
episode time: 3.724949836730957
success rate: 0.6666666666666666
episode index: 9
episode time: 5.867243051528931
success rate: 0.7
episode index: 10
episode time: 6.7833311557769775
success rate: 0.7272727272727273
episode index: 11
episode time: 11.326353788375854
success rate: 0.75
episode index: 12
episode time: 3.64522123336792
success rate: 0.7692307692307693
episode index: 13
episode time: 19.880823135375977
success rate: 0.7142857142857143
episode index: 14
episode time: 9.122000217437744
success rate: 0.7333333333333333
episode index: 15
episode time: 15.842233896255493
success rate: 0.75
episode index: 16
episode time: 19.92439889907837
success rate: 0.7647058823529411
episode index: 17
episode time: 5.637860059738159
success rate: 0.7777777777777778
episode index: 18
episode time: 5.868494749069214
success rate: 0.7894736842105263
episode index: 19
episode time: 19.527426719665527
success rate: 0.75
episode index: 20
episode time: 13.506611824035645
success rate: 0.7619047619047619
episode index: 21
episode time: 5.947089672088623
success rate: 0.7727272727272727
episode index: 22
episode time: 5.844702959060669
success rate: 0.782608695652174
episode index: 23
episode time: 20.273966550827026
success rate: 0.75
episode index: 24
episode time: 6.682502031326294
success rate: 0.76
episode index: 25
episode time: 9.408442735671997
success rate: 0.7692307692307693
episode index: 26
episode time: 4.528004169464111
success rate: 0.7777777777777778
episode index: 27
episode time: 12.91964840888977
success rate: 0.75
episode index: 28
episode time: 9.379552841186523
success rate: 0.7586206896551724
episode index: 29
episode time: 17.85499358177185
success rate: 0.7333333333333333
episode index: 30
episode time: 9.449649572372437
success rate: 0.7419354838709677
episode index: 31
episode time: 2.6417152881622314
success rate: 0.75
episode index: 32
episode time: 20.48818826675415
success rate: 0.7272727272727273
episode index: 33
episode time: 7.371725082397461
success rate: 0.7352941176470589
episode index: 34
episode time: 17.347975969314575
success rate: 0.7142857142857143
episode index: 35
episode time: 7.6809797286987305
