Evaluate office environment:
evaluate mppi
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 95
episode time: 16.45521378517151
success rate: 0.6770833333333334
episode index: 96
episode time: 5.980075836181641
success rate: 0.6804123711340206
episode index: 97
episode time: 6.645187854766846
success rate: 0.6836734693877551
episode index: 98
episode time: 18.99187183380127
success rate: 0.6767676767676768
episode index: 99
episode time: 17.919198274612427
success rate: 0.67
Final success rate: 0.67
skill steps: [1, 6, 7, 1, 7, 5, 4, 8, 0, 8, 5, 9, 2, 1, 6, 6, 1, 4, 2, 2, 1, 4, 8, 5, 7, 4, 3, 7, 3, 7, 6, 5, 1, 5, 2, 9, 7, 7, 9, 2, 9, 1, 0, 9, 6, 6, 9, 9, 2, 1, 0, 7, 6, 6, 7, 0, 2, 4, 0, 8, 6, 2, 0, 9, 0, 1, 4]
pybullet build time: May 28 2020 16:37:34
